"ID"	"Description"	"Gene"	"GeneID"
"dr:D02357"	"Methysergide (USAN/INN)"	"HTR1A/HTR2A/HTR2B/HTR2C/HTR7"	"3350/3356/3357/3358/3363"
"dr:D02358"	"Metoprolol (USAN/INN)"	"ADRB1"	"153"
"dr:D02359"	"Ritodrine (USAN/INN)"	"ADRB2"	"154"
"dr:D02360"	"Sertraline (INN)"	"SLC6A4"	"6532"
"dr:D02362"	"Paroxetine (USP/INN);"	"SLC6A4"	"6532"
"dr:D02363"	"Ketanserin (USAN/INN)"	"HTR2A"	"3356"
"dr:D02364"	"Lobeline (INN)"	"CHRNA1/CHRNA2/CHRNA3/CHRNA4/CHRNA5/CHRNA6/CHRNA7/CHRNA9/CHRNA10/CHRNB1/CHRNB2/CHRNB3/CHRNB4/CHRND/CHRNE/CHRNG"	"1134/1135/1136/1137/1138/8973/1139/55584/57053/1140/1141/1142/1143/1144/1145/1146"
"dr:D02365"	"Oxypurinol (USAN);"	"XDH"	"7498"
"dr:D02367"	"Desogestrel (USAN/INN)"	"PGR/ESR1"	"5241/2099"
"dr:D02368"	"Gemcitabine (USAN/INN)"	"RRM1"	"6240"
"dr:D02369"	"Histrelin (USAN/INN);"	"GNRHR"	"2798"
"dr:D02371"	"Clocapramine hydrochloride hydrate (JP18);"	"DRD2"	"1813"
"dr:D02372"	"Perospirone hydrochloride hydrate (JAN);"	"HTR2A/DRD2"	"3356/1813"
"dr:D02374"	"Metipranolol (USAN/INN)"	"ADRB1/ADRB2/ADRB3"	"153/154/155"
"dr:D02381"	"Aspartame (NF/INN)"	"TAS1R2/TAS1R3"	"80834/83756"
"dr:D02384"	"Verlukast (USAN/INN)"	"CYSLTR1"	"10800"
"dr:D02385"	"Levcromakalim (USAN/INN);"	"ABCC8/KCNJ11/ABCC9"	"6833/3767/10060"
"dr:D02386"	"Ticrynafen (USAN);"	"SLC12A1/SLC12A2"	"6557/6558"
"dr:D02388"	"Levonordefrin (USP);"	"ADRA2A/ADRA2B/ADRA2C"	"150/151/152"
"dr:D02389"	"Primidolol (USAN/INN)"	"ADRB1"	"153"
"dr:D02396"	"Hexoprenaline sulfate (USAN);"	"ADRB2"	"154"
"dr:D02398"	"Estramustine phosphate sodium (USAN);"	"TUBB3/TUBB4A/TUBB4B/TUBB/TUBB8/TUBB2B/TUBB2A/TUBB1/TUBB6/SRD5A2"	"10381/10382/10383/203068/347688/347733/7280/81027/84617/6716"
"dr:D02404"	"Procaterol hydrochloride (USAN);"	"ADRB2"	"154"
"dr:D02407"	"Lidamidine hydrochloride (USAN)"	"ADRA2A/ADRA2B/ADRA2C"	"150/151/152"
"dr:D02408"	"Trimipramine maleate (JAN/USP);"	"SLC6A2/SLC6A4"	"6530/6532"
"dr:D02410"	"Selfotel (USAN/INN)"	"GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D"	"2902/2903/2904/2905/2906"
"dr:D02417"	"Flutropium bromide (JAN);"	"CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"1128/1129/1131/1132/1133"
"dr:D02418"	"Physostigmine salicylate (JAN/USP);"	"ACHE"	"43"
"dr:D02419"	"Diphenhydramine salicylate (JAN)"	"HRH1"	"3269"
"dr:D02425"	"Carbutamide (INN);"	"ABCC8"	"6833"
"dr:D02427"	"Glibornuride (USAN/INN);"	"ABCC8"	"6833"
"dr:D02430"	"Gliquidone (INN);"	"ABCC8"	"6833"
"dr:D02441"	"Ethoxzolamide;"	"CA1/CA2/CA3/CA4/CA5A/CA5B/CA6/CA7/CA8/CA9/CA12/CA13/CA14"	"759/760/761/762/763/11238/765/766/767/768/771/377677/23632"
"dr:D02451"	"Fadrozole hydrochloride (USAN)"	"CYP19A1"	"1588"
"dr:D02453"	"Flumethiazide (INN);"	"SLC12A3/SLC12A1"	"6559/6557"
"dr:D02456"	"Aminobenzoic acid (USP);"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D02500"	"c(\"Imiquimod (JAN/USP/INN);\", \"Aldara (TN);\", \"Zyclara (TN)\")"	"TLR7"	"51284"
"dr:D02535"	"Timepidium bromide hydrate (JP18);"	"CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"1128/1129/1131/1132/1133"
"dr:D02537"	"Dronedarone (INN)"	"CACNA1C/CACNA1D/CACNA1F/CACNA1S/KCND3/KCNH2/KCNQ1/KCNJ3/KCNJ5/ADRA1A/ADRA1B/ADRA1D/ADRB1"	"775/776/778/779/3752/3757/3784/3760/3762/148/147/146/153"
"dr:D02558"	"Rivastigmine tartrate;"	"ACHE/BCHE"	"43/590"
"dr:D02559"	"Toloxatone (INN);"	"MAOA"	"4128"
"dr:D02560"	"Brofaromine (INN);"	"MAOA"	"4128"
"dr:D02561"	"Moclobemide (USAN/INN);"	"MAOA"	"4128"
"dr:D02562"	"Rasagiline mesylate (USAN);"	"MAOB"	"4129"
"dr:D02563"	"Befloxatone (INN)"	"MAOA"	"4128"
"dr:D02564"	"Pargyline hydrochloride (USAN);"	"MAOA/MAOB"	"4128/4129"
"dr:D02565"	"Dimetacrine (INN)"	"ACHE"	"43"
"dr:D02566"	"Maprotiline (USAN)"	"SLC6A2"	"6530"
"dr:D02567"	"Escitalopram oxalate (JAN/USP);"	"SLC6A4"	"6532"
"dr:D02568"	"Flesinoxan (INN)"	"HTR1A/ADRA1A/ADRA1B/ADRA1D"	"3350/148/147/146"
"dr:D02569"	"Sunepitron hydrochloride (USAN)"	"HTR1A/ADRA2A/ADRA2B/ADRA2C"	"3350/150/151/152"
"dr:D02570"	"Desvenlafaxine succinate (USAN);"	"SLC6A4/SLC6A2"	"6532/6530"
"dr:D02571"	"Sibutramine hydrochloride (USP);"	"SLC6A2/SLC6A3/SLC6A4"	"6530/6531/6532"
"dr:D02572"	"Viloxazine hydrochloride (USAN);"	"SLC6A2"	"6530"
"dr:D02573"	"Reboxetine mesylate (USAN);"	"SLC6A2"	"6530"
"dr:D02574"	"Atomoxetine hydrochloride (JAN/USP);"	"SLC6A2"	"6530"
"dr:D02576"	"Eptapirone (INN)"	"HTR1A"	"3350"
"dr:D02577"	"Flibanserin (USAN/INN);"	"HTR1A/HTR2A/HTR2B/HTR2C"	"3350/3356/3357/3358"
"dr:D02578"	"Agomelatine (INN);"	"HTR2C/MTNR1A/MTNR1B"	"3358/4543/4544"
"dr:D02579"	"Iproniazid (INN)"	"MAOA/MAOB"	"4128/4129"
"dr:D02580"	"Isocarboxazid (INN);"	"MAOA/MAOB"	"4128/4129"
"dr:D02581"	"Cimoxatone (INN)"	"MAOA"	"4128"
"dr:D02587"	"Metildigoxin (JP18);"	"ATP1A1/ATP1A2/ATP1A3/ATP1A4"	"476/477/478/480"
"dr:D02588"	"Montirelin (INN)"	"TRHR"	"7201"
"dr:D02590"	"Israpafant (JAN/INN)"	"PTAFR"	"5724"
"dr:D02591"	"Dexamethasone acefurate (USAN/INN)"	"NR3C1"	"2908"
"dr:D02592"	"Dexamethasone beloxil (USAN)"	"NR3C1"	"2908"
"dr:D02593"	"Pantoprazole sodium (USP);"	"ATP4A/ATP4B"	"495/496"
"dr:D02594"	"Abecarnil (INN)"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D02596"	"Tocilizumab (USAN/INN);"	"IL6R"	"3570"
"dr:D02597"	"Adalimumab (USAN/INN);"	"TNF"	"7124"
"dr:D02598"	"Infliximab (USAN/INN);"	"TNF"	"7124"
"dr:D02599"	"Orphenadrine hydrochloride;"	"GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B/HRH1"	"2902/2903/2904/2905/2906/116443/116444/3269"
"dr:D02603"	"Diethazine hydrochloride"	"CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"1128/1129/1131/1132/1133"
"dr:D02604"	"Acepromazine maleate (USP)"	"DRD2/DRD1"	"1813/1812"
"dr:D02605"	"Methoxypromazine maleate"	"DRD2"	"1813"
"dr:D02608"	"Perazine fendizoate (JAN)"	"DRD2"	"1813"
"dr:D02609"	"Prochlorperazine edisylate (USP);"	"DRD2"	"1813"
"dr:D02610"	"Thiethylperazine malate (JAN);"	"DRD2"	"1813"
"dr:D02612"	"Thiothixene hydrochloride (USP);"	"DRD2/DRD3"	"1813/1814"
"dr:D02613"	"Clopenthixol (USAN)"	"DRD1/DRD2"	"1812/1813"
"dr:D02614"	"Denopamine (JAN/INN);"	"ADRB1"	"153"
"dr:D02616"	"Pagoclone (USAN/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D02617"	"Ocinaplon (USAN/INN)"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D02618"	"Butobarbital (BAN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D02622"	"Pipamperone (USAN/INN);"	"DRD2"	"1813"
"dr:D02623"	"Moperone (INN)"	"DRD2"	"1813"
"dr:D02624"	"Eszopiclone (JAN/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D02625"	"Trifluperidol (USAN/INN);"	"DRD2"	"1813"
"dr:D02626"	"Bromperidol decanoate (USAN)"	"DRD2"	"1813"
"dr:D02627"	"Benperidol (USAN/INN);"	"DRD2"	"1813"
"dr:D02630"	"Penfluridol (USAN/INN);"	"CACNA1I/CACNA1H/CACNA1G"	"8911/8912/8913"
"dr:D02631"	"Dilazep dihydrochloride hydrate (JP18);"	"SLC29A1"	"2030"
"dr:D02632"	"Indisetron hydrochloride (JAN);"	"HTR3A/HTR3B/HTR3C/HTR3D/HTR3E"	"3359/9177/170572/200909/285242"
"dr:D02633"	"Lomerizine hydrochloride (JAN);"	"CACNA1I/CACNA1H/CACNA1G"	"8911/8912/8913"
"dr:D02634"	"Alentemol hydrobromide (USAN)"	"DRD2"	"1813"
"dr:D02640"	"Indiplon (USAN/INN)"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D02641"	"Butaclamol hydrochloride (USAN)"	"DRD1/DRD2"	"1812/1813"
"dr:D02644"	"Carphenazine maleate (USAN);"	"DRD1/DRD2"	"1812/1813"
"dr:D02645"	"Carvotroline hydrochloride (USAN)"	"DRD2"	"1813"
"dr:D02655"	"Etazolate hydrochloride (USAN)"	"PDE4A/PDE4B/PDE4C/PDE4D"	"5141/5142/5143/5144"
"dr:D02656"	"Fananserin (USAN/INN)"	"HTR2A/DRD4"	"3356/1815"
"dr:D02664"	"Mirimostim (JAN/INN);"	"CSF1R"	"1436"
"dr:D02666"	"Iloperidone (USAN/INN);"	"DRD2/HTR2A/HTR2B/HTR2C"	"1813/3356/3357/3358"
"dr:D02670"	"Mazapertine succinate (USAN)"	"DRD2"	"1813"
"dr:D02671"	"Mesoridazine (USAN/INN);"	"DRD2/HTR2A"	"1813/3356"
"dr:D02675"	"Ocaperidone (USAN)"	"DRD2/HTR2A/HTR2B/HTR2C"	"1813/3356/3357/3358"
"dr:D02676"	"Oxiperomide (USAN/INN)"	"DRD1/DRD2/DRD3/DRD4/DRD5"	"1812/1813/1814/1815/1816"
"dr:D02680"	"Pipotiazine palmitate (USAN);"	"DRD2/DRD1/HTR2A/HTR1A"	"1813/1812/3356/3350"
"dr:D02681"	"Piquindone hydrochloride (USAN)"	"DRD2"	"1813"
"dr:D02682"	"Remoxipride (USAN)"	"DRD2"	"1813"
"dr:D02683"	"Remoxipride hydrochloride (USAN)"	"DRD2"	"1813"
"dr:D02684"	"Rimcazole hydrochloride (USAN)"	"SIGMAR1"	"10280"
"dr:D02686"	"Setoperone (USAN/INN)"	"HTR2A/HTR2B/HTR2C"	"3356/3357/3358"
"dr:D02688"	"Tiospirone hydrochloride (USAN)"	"HTR2A/HTR2B/HTR2C/DRD2/HTR1A/HTR6/SIGMAR1"	"3356/3357/3358/1813/3350/3362/10280"
"dr:D02689"	"Ramelteon (JAN/USAN/INN);"	"MTNR1A/MTNR1B"	"4543/4544"
"dr:D02691"	"Somatropin (USP/INN);"	"GHR"	"2690"
"dr:D02692"	"Menotropins (USAN);"	"LHCGR/FSHR"	"3973/2492"
"dr:D02693"	"Devazepide (USAN/INN);"	"CCKAR"	"886"
"dr:D02696"	"Talampanel (INN)"	"GRIA1/GRIA2/GRIA3/GRIA4"	"2890/2891/2892/2893"
"dr:D02697"	"Valrubicin (USP/INN);"	"TOP2A/TOP2B"	"7153/7155"
"dr:D02698"	"Teniposide (USP/INN);"	"TOP2A/TOP2B"	"7153/7155"
"dr:D02702"	"Talibegron hydrochloride (USAN)"	"ADRB3"	"155"
"dr:D02704"	"Tampramine fumarate (USAN)"	"SLC6A2"	"6530"
"dr:D02705"	"Alprostadil alfadex (JP18);"	"PTGER1"	"5731"
"dr:D02709"	"Valdecoxib (USAN/INN);"	"PTGS2"	"5743"
"dr:D02710"	"Tarazepide (INN)"	"CCKAR"	"886"
"dr:D02714"	"Everolimus (JAN/USAN/INN);"	"MTOR"	"2475"
"dr:D02716"	"Pregabalin (JAN/USAN/INN);"	"CACNA2D1/CACNA2D2/CACNA2D3/CACNA2D4"	"781/9254/55799/93589"
"dr:D02719"	"Rosaprostol (INN)"	"PTGFR"	"5737"
"dr:D02720"	"Beraprost (USAN)"	"PTGIR"	"5739"
"dr:D02721"	"Iloprost (USAN/INN);"	"PTGIR"	"5739"
"dr:D02722"	"Limaprost (INN)"	"PTGER1"	"5731"
"dr:D02723"	"Ecraprost (USAN/INN)"	"PTGER1"	"5731"
"dr:D02724"	"Bimatoprost (JAN/USAN/INN);"	"PTGFR"	"5737"
"dr:D02725"	"Sulprostone (USAN/INN)"	"PTGER2"	"5732"
"dr:D02726"	"Meteneprost (USAN/INN)"	"PTGER2"	"5732"
"dr:D02727"	"Cloprostenol sodium (USP);"	"PTGFR"	"5737"
"dr:D02729"	"Itopride hydrochloride (JAN);"	"DRD2/ACHE"	"1813/43"
"dr:D02730"	"Tegaserod maleate (USAN);"	"HTR4"	"3360"
"dr:D02731"	"Vardenafil dihydrochoride (USAN);"	"PDE5A"	"8654"
"dr:D02732"	"Pranlukast hydrate (JP18);"	"CYSLTR1"	"10800"
"dr:D02735"	"Rimabotulinumtoxin B (USAN);"	"SNAP25"	"6616"
"dr:D02738"	"Abarelix (USAN/INN);"	"GNRHR"	"2798"
"dr:D02739"	"Ablukast (USAN/INN)"	"CYSLTR1"	"10800"
"dr:D02741"	"Ablukast sodium (USAN);"	"CYSLTR1"	"10800"
"dr:D02743"	"Celmoleukin (genetical recombination) (JP18);"	"IL2RA/IL2RB/IL2RG"	"3559/3560/3561"
"dr:D02744"	"c(\"Interferon alfacon-1 (USAN/INN);\", \"Interferon alfacon-1 (genetical recombination) (JAN);\", \"Advaferon (TN);\", \"Infergen (TN)\")"	"IFNAR1/IFNAR2"	"3454/3455"
"dr:D02745"	"Interferon alfa-2b (USAN);"	"IFNAR1/IFNAR2"	"3454/3455"
"dr:D02747"	"Peginterferon alfa-2a (USAN/INN);"	"IFNAR1/IFNAR2"	"3454/3455"
"dr:D02748"	"Peginterferon alfa-2b (USAN/INN);"	"IFNAR1/IFNAR2"	"3454/3455"
"dr:D02749"	"Teceleukin (USAN);"	"IL2RA/IL2RB/IL2RG"	"3559/3560/3561"
"dr:D02750"	"Aceclidine (USAN/INN);"	"CHRM1"	"1128"
"dr:D02754"	"Acitretin (USP/INN);"	"RARA/RARB/RARG/RXRA/RXRB/RXRG"	"5914/5915/5916/6256/6257/6258"
"dr:D02755"	"Acivicin (USAN/INN)"	"GGT1/GGT5/GGT6/GGT7"	"2678/2687/124975/2686"
"dr:D02756"	"Aclarubicin (USAN/INN);"	"TOP1/TOP2A/TOP2B"	"7150/7153/7155"
"dr:D02758"	"Acolbifene hydrochloride (USAN)"	"ESR1/ESR2"	"2099/2100"
"dr:D02760"	"Acrivastine (USAN/INN)"	"HRH1"	"3269"
"dr:D02762"	"Actisomide (USAN/INN)"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D02765"	"Adaprolol maleate (USAN)"	"ADRB1/ADRB2/ADRB3"	"153/154/155"
"dr:D02767"	"Adatanserin hydrochloride (USAN)"	"HTR1A/HTR2A/HTR2B/HTR2C"	"3350/3356/3357/3358"
"dr:D02769"	"Adenosine phosphate (USAN/INN);"	"ADORA1/ADORA2A/ADORA2B/ADORA3"	"134/135/136/140"
"dr:D02770"	"Adinazolam (USAN/INN)"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D02771"	"Adinazolam mesylate (USAN)"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D02774"	"Adrenalone (USAN/INN)"	"ADRA1A/ADRA1B/ADRA1D"	"148/147/146"
"dr:D02775"	"Adrogolide hydrochloride (USAN)"	"DRD1"	"1812"
"dr:D02778"	"Abciximab (USAN/INN);"	"ITGA2B/ITGB3"	"3674/3690"
"dr:D02780"	"Acamprosate calcium (JAN/USAN);"	"GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D"	"2902/2903/2904/2905/2906"
"dr:D02784"	"Agalsidase alfa (USAN/INN);"	"GLA"	"2717"
"dr:D02787"	"Alaproclate (USAN/INN)"	"SLC6A4"	"6532"
"dr:D02800"	"Alefacept (USAN/INN);"	"CD58"	"965"
"dr:D02801"	"Alemcinal (USAN/INN)"	"MLNR"	"2862"
"dr:D02802"	"Alemtuzumab (USAN/INN);"	"CD52"	"1043"
"dr:D02810"	"Alglucerase (JAN/USAN/INN);"	"GBA1"	"2629"
"dr:D02811"	"Alicaforsen sodium (USAN)"	"ICAM1"	"3383"
"dr:D02815"	"Alitretinoin (USAN);"	"RXRA/RXRB/RXRG/RARA/RARB/RARG"	"6256/6257/6258/5914/5915/5916"
"dr:D02824"	"Almotriptan (USAN)"	"HTR1B/HTR1D"	"3351/3352"
"dr:D02825"	"Almotriptan malate (USP);"	"HTR1B/HTR1D"	"3351/3352"
"dr:D02826"	"Alniditan dihydrochloride (USAN)"	"HTR1B/HTR1D"	"3351/3352"
"dr:D02829"	"Alosetron hydrochloride (USAN);"	"HTR3A/HTR3B/HTR3C/HTR3D/HTR3E"	"3359/9177/170572/200909/285242"
"dr:D02833"	"Alpidem (USAN/INN)"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D02834"	"Alprenoxime hydrochloride (USAN)"	"ADRB1/ADRB2/ADRB3"	"153/154/155"
"dr:D02835"	"Alrestatin sodium (USAN)"	"AKR1B1"	"231"
"dr:D02836"	"Altanserin tartrate (USAN)"	"HTR2A"	"3356"
"dr:D02839"	"Altinicline maleate (USAN)"	"CHRNA4/CHRNB2"	"1137/1141"
"dr:D02840"	"Altrenogest (USAN/INN)"	"PGR"	"5241"
"dr:D02846"	"Cinalukast (USAN/INN)"	"CYSLTR1"	"10800"
"dr:D02848"	"Pobilukast edamine (USAN)"	"CYSLTR1"	"10800"
"dr:D02849"	"Ritolukast (USAN/INN)"	"CYSLTR1"	"10800"
"dr:D02850"	"Sulukast (USAN/INN)"	"CYSLTR1"	"10800"
"dr:D02851"	"Tomelukast (USAN/INN)"	"CYSLTR1"	"10800"
"dr:D02860"	"Limaprost alfadex (JP18);"	"PTGER1"	"5731"
"dr:D02876"	"Alvameline maleate (USAN)"	"CHRM1/CHRM2/CHRM3"	"1128/1129/1131"
"dr:D02878"	"Alvimopan (USAN);"	"OPRM1"	"4988"
"dr:D02880"	"Alvocidib hydrochloride (USAN)"	"CDK1/CDK2/CDK4/CDK6/CDK7"	"983/1017/1019/1021/1022"
"dr:D02881"	"Amadinone acetate (USAN)"	"PGR"	"5241"
"dr:D02893"	"Amesergide (USAN/INN)"	"HTR2A/HTR2C"	"3356/3358"
"dr:D02896"	"Amflutizole (USAN/INN)"	"XDH"	"7498"
"dr:D02897"	"Amfonelic acid (USAN);"	"SLC6A3"	"6531"
"dr:D02901"	"Amidephrine mesylate (USAN);"	"ADRA1A/ADRA1B/ADRA1D"	"148/147/146"
"dr:D02906"	"Aminobenzoate potassium (USP);"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D02907"	"Aminobenzoate sodium (USP);"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D02910"	"Amiodarone (USAN/INN)"	"KCND3/KCNH2/KCNQ1/KCNJ3/KCNJ5/KCNJ8/KCNJ11/KCNJ12/ADRA1A/ADRA1B/ADRA1D/ADRB1/SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"3752/3757/3784/3760/3762/3764/3767/3768/148/147/146/153/6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D02914"	"Amlodipine maleate (USAN);"	"CACNA1C/CACNA1D/CACNA1F/CACNA1S"	"775/776/778/779"
"dr:D02933"	"Anagrelide hydrochloride (USP);"	"PDE3A/PDE3B"	"5139/5140"
"dr:D02934"	"Anakinra (USAN/INN);"	"IL1R1/IL1R2"	"3554/7850"
"dr:D02935"	"Anaritide acetate (USAN)"	"NPR1/NPR2"	"4881/4882"
"dr:D02937"	"Ancestim (USAN/INN);"	"KIT"	"3815"
"dr:D02939"	"Angiotensin amide (USAN);"	"AGTR1/AGTR2"	"185/186"
"dr:D02941"	"Anileridine (USP/INN)"	"OPRM1"	"4988"
"dr:D02942"	"Anileridine hydrochloride (USP);"	"OPRM1"	"4988"
"dr:D02950"	"Antazoline phosphate (USP)"	"HRH1"	"3269"
"dr:D02956"	"Anticoagulant heparin (USP)"	"SERPINC1"	"462"
"dr:D02964"	"Apaxifylline (USAN/INN)"	"ADORA1"	"134"
"dr:D02967"	"Apolizumab (USAN/INN)"	"HLA-DRB1/HLA-DRB3/HLA-DRB4/HLA-DRB5"	"3123/3125/3126/3127"
"dr:D02968"	"Aprepitant (JAN/USP/INN);"	"TACR1"	"6869"
"dr:D02969"	"Aprindine (USAN/INN)"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D02970"	"Aprinocarsen sodium (USAN);"	"PRKCA"	"5578"
"dr:D02972"	"Aptazapine maleate (USAN)"	"ADRA2A/ADRA2B/ADRA2C"	"150/151/152"
"dr:D02973"	"Aptiganel hydrochloride (USAN)"	"GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D"	"2902/2903/2904/2905/2906"
"dr:D02975"	"Arbaprostil (USAN/INN)"	"PTGER2"	"5732"
"dr:D02976"	"Arbutamine hydrochloride (USAN);"	"ADRB1/ADRB2/ADRB3"	"153/154/155"
"dr:D02977"	"Arcitumomab (USAN/INN);"	"CEACAM5/CEACAM3/CEACAM7/CEACAM8/CEACAM4/CEACAM6/CEACAM1/CEACAM21/MUC1"	"1048/1084/1087/1088/1089/4680/634/90273/4582"
"dr:D02979"	"Ardenermin (USAN);"	"TNFSF13B"	"10673"
"dr:D02980"	"Adomiparin sodium (USAN);"	"SERPINC1/SERPIND1"	"462/3053"
"dr:D02981"	"Arformoterol tartrate (USAN);"	"ADRB2"	"154"
"dr:D02983"	"Argipressin tannate (USAN);"	"AVPR1A/AVPR1B/AVPR2"	"552/553/554"
"dr:D02985"	"Arofylline (USAN/INN)"	"PDE4A/PDE4B/PDE4C/PDE4D"	"5141/5142/5143/5144"
"dr:D02991"	"Articaine hydrochloride (JAN/USP)"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D02993"	"Arzoxifene hydrochloride (USAN)"	"ESR1/ESR2"	"2099/2100"
"dr:D02994"	"Rituximab (USAN/INN);"	"MS4A1"	"931"
"dr:D02995"	"Asenapine maleate (JAN/USAN);"	"HTR1A/HTR2A/HTR2C/HTR6/HTR7/DRD2"	"3350/3356/3358/3362/3363/1813"
"dr:D02996"	"Asoprisnil (USAN/INN)"	"PGR"	"5241"
"dr:D03002"	"Atipamezole (USAN/INN);"	"ADRA2A/ADRA2B/ADRA2C"	"150/151/152"
"dr:D03005"	"Atiprosin maleate (USAN)"	"HTR2A"	"3356"
"dr:D03008"	"Atosiban (USAN/INN)"	"OXTR"	"5021"
"dr:D03009"	"Atrasentan hydrochloride (USAN)"	"EDNRA"	"1909"
"dr:D03010"	"Atreleuton (USAN/INN)"	"ALOX5"	"240"
"dr:D03011"	"Atropine oxide hydrochloride (USAN);"	"CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"1128/1129/1131/1132/1133"
"dr:D03012"	"Avasimibe (USAN/INN)"	"SOAT1/SOAT2"	"6646/8435"
"dr:D03014"	"Avitriptan fumarate (USAN)"	"HTR1B/HTR1D"	"3351/3352"
"dr:D03020"	"Imiglucerase (USAN/INN);"	"GBA1"	"2629"
"dr:D03021"	"Azacitidine (JAN/USAN/INN);"	"DNMT1/DNMT3A/DNMT3B"	"1786/1788/1789"
"dr:D03025"	"Azalanstat dihydrochloride (USAN)"	"CYP51A1"	"1595"
"dr:D03037"	"Azimilide dihydrochloride (USAN)"	"KCNH2/KCNQ1"	"3757/3784"
"dr:D03051"	"Bamifylline hydrochloride (USAN)"	"ADORA1"	"134"
"dr:D03056"	"Barmastine (USAN/INN)"	"HRH1"	"3269"
"dr:D03058"	"Basiliximab (USAN/INN);"	"IL2RA"	"3559"
